Part Number▲▼,Configuration▲▼,SingleSupplyMin.▲▼,SingleSupplyMax.▲▼,DualSupplyMin.▲▼,DualSupplyMax.▲▼,On-Resistance(Ω)▲▼,Is(off)Max.▲▼,tonMax.▲▼,QINJTyp.▲▼,XTALK&OIRR▲▼,Package▲▼,CS(on)(pF)▲▼,CS(off)(pF)▲▼,-3 dBBandwidth(MHz)▲▼,Image path
DG417LE,"SPST x 1, NC",3,16,3,8,6,2,38,-17,-68,SO-8 (narrow) AS,33,11,,
DG417LE,"SPST x 1, NC",3,16,3,8,6,2,38,-17,-68,MSOP-8,33,11,,
DG418B,"SPST x 1, NO",13,36,7,22,15,0.25,89,38,-88,SO-8 (Narrow) AS,50,12,,
DG418B,"SPST x 1, NO",13,36,7,22,15,0.25,89,38,-88,Plastic DIP-8,50,12,,
DG418B,"SPST x 1, NO",13,36,7,22,15,0.25,89,38,-88,MSOP-8,50,12,,
DG418LE,"SPST x 1, NO",3,16,3,8,6,2,38,-17,-68,SO-8 (narrow) AS,33,11,,
DG418LE,"SPST x 1, NO",3,16,3,8,6,2,38,-17,-68,MSOP-8,33,11,,
DG419B,SPDT x 1,13,36,7,22,15,0.25,89,38,-88,MSOP-8,57,12,,
DG419B,SPDT x 1,13,36,7,22,15,0.25,89,38,-88,SO-8 (Narrow) AS,57,12,,
DG419B,SPDT x 1,13,36,7,22,15,0.25,89,38,-88,Plastic DIP-8,57,12,,
DG419LE,SPDT x 1,3,16,3,8,12,2,38,-17,-68,SO-8 (narrow) AS,29,6,,
DG419LE,SPDT x 1,3,16,3,8,12,2,38,-17,-68,MSOP-8,29,6,,
DG441B,"SPST x 4, NC",13,36,7,22,45,0.5,220,1,-95,Plastic DIP-16,16,4,,
DG441B,"SPST x 4, NC",13,36,7,22,45,0.5,220,1,-95,QFN-16 4x4,16,4,,
DG441B,"SPST x 4, NC",13,36,7,22,45,0.5,220,1,-95,SO-16 (Narrow) AS,16,4,,
DG441LE,"SPST x 4, NC",3,16,3,8,16,1,65,5.8,-113,SO-16 (Narrow) AS,14,5,,
DG441LE,"SPST x 4, NC",3,16,3,8,16,1,65,5.8,-113,Plastic DIP-16,14,5,,
DG441LE,"SPST x 4, NC",3,16,3,8,16,1,65,5.8,-113,TSSOP-16,14,5,,
DG442B,"SPST x 4, NO",13,36,7,22,45,0.5,220,1,-95,SO-16 (Narrow) AS,16,4,,
DG442B,"SPST x 4, NO",13,36,7,22,45,0.5,220,1,-95,QFN-16 4x4,16,4,,
DG442B,"SPST x 4, NO",13,36,7,22,45,0.5,220,1,-95,Plastic DIP-16,16,4,,
DG442LE,"SPST x 4, NO",3,16,3,8,16,1,65,5.8,-113,SO-16 (Narrow) AS,14,5,,
DG442LE,"SPST x 4, NO",3,16,3,8,16,1,65,5.8,-113,TSSOP-16,14,5,,
DG442LE,"SPST x 4, NO",3,16,3,8,16,1,65,5.8,-113,Plastic DIP-16,14,5,,
DG444B,"SPST x 4, NC",13,36,7,22,45,0.5,300,1,-95,Plastic DIP-16,16,5,,
DG444B,"SPST x 4, NC",13,36,7,22,45,0.5,300,1,-95,QFN-16 4x4,16,5,,
DG444B,"SPST x 4, NC",13,36,7,22,45,0.5,300,1,-95,SO-16 (Narrow) AS,16,5,,
DG445B,"SPST x 4, NO",13,36,7,22,45,0.5,300,1,-95,QFN-16 4x4,16,5,,
DG445B,"SPST x 4, NO",13,36,7,22,45,0.5,300,1,-95,SO-16 (Narrow) AS,16,5,,
DG445B,"SPST x 4, NO",13,36,7,22,45,0.5,300,1,-95,Plastic DIP-16,16,5,,
DG447,"SPST x 1, NO",7,36,4.5,22,32,1,130,12,-72,TSOP-6,30,8,,
DG448,"SPST x 1, NO",7,36,4.5,22,32,1,130,12,-72,TSOP-6,30,8,,
DG449,SPDT x 1,7,36,4.5,20,38,1,146,5,-80,SOT-23-8,18,8,,
DG451,"SPST x 4, NC",12,36,5,22,3.8,0.5,118,22,-85,TSSOP-16,103,31,,
DG451,"SPST x 4, NC",12,36,5,22,3.8,0.5,118,22,-85,SO-16 (Narrow) AS,103,31,,
DG452,"SPST x 4, NO",12,36,5,22,3.8,0.5,118,22,-85,TSSOP-16,103,31,,
DG452,"SPST x 4, NO",12,36,5,22,3.8,0.5,118,22,-85,SO-16 (Narrow) AS,103,31,,
DG453,"SPST x 4, Comp",12,36,5,22,3.8,0.5,118,22,-85,SO-16 (Narrow) AS,103,31,,
DG453,"SPST x 4, Comp",12,36,5,22,3.8,0.5,118,22,-85,TSSOP-16,103,31,,
DG454,"SPST x 4, NC",12,36,5,22,3.8,0.5,118,22,-85,TSSOP-16,103,31,,
DG454,"SPST x 4, NC",12,36,5,22,3.8,0.5,118,22,-85,SO-16 (Narrow) AS,103,31,,
DG455,"SPST x 4, NO",12,36,5,22,3.8,0.5,118,22,-85,TSSOP-16,103,31,,
DG455,"SPST x 4, NO",12,36,5,22,3.8,0.5,118,22,-85,SO-16 (Narrow) AS,103,31,,
DG456,"SPST x 4, Comp",12,36,5,22,3.8,0.5,118,22,-85,TSSOP-16,103,31,,
DG456,"SPST x 4, Comp",12,36,5,22,3.8,0.5,118,22,-85,SO-16 (Narrow) AS,103,31,,
DG467,"SPST x 1, NC",7,36,4.5,20,7,1,140,21,,TSOP-6,76,30,,
DG468,"SPST x 1, NO",7,36,4.5,20,7,1,140,21,,TSOP-6,76,30,,
DG469,SPDT x 1,12,36,4.5,22,3.6,0.5,166,58,-63,MSOP-8,125,37,,
DG469,SPDT x 1,12,36,4.5,22,3.6,0.5,166,58,-63,SO-8 (Narrow) AS,125,37,,
DG470,SPDT x 1,12,36,4.5,22,3.6,0.5,166,58,-63,SO-8 (Narrow) AS,125,37,,
DG470,SPDT x 1,12,36,4.5,22,3.6,0.5,166,58,-63,MSOP-8,125,37,,
DG5043,SPDT x 2,13,36,7,22,50,1,1200,30,-80,Plastic DIP-16,,,,
DG506B,16:1 x 1,12,44,5,20,170,1,250,1,-85,TSSOP-28,38,3,114,
DG506B,16:1 x 1,12,44,5,20,170,1,250,1,-85,PLCC-28,38,3,114,
DG506B,16:1 x 1,12,44,5,20,170,1,250,1,-85,SO-28 (Wide),38,3,114,
DG507B,8:1 x 2,12,44,5,20,170,1,250,1,-84,TSSOP-28,24,3,217,
DG507B,8:1 x 2,12,44,5,20,170,1,250,1,-84,SO-28 (Wide),24,3,217,
DG507B,8:1 x 2,12,44,5,20,170,1,250,1,-84,PLCC-28,24,3,217,
DG508B,8:1 x 1,12,44,5,22,180,1,250,2,-88,Plastic DIP-16,18,3,250,
DG508B,8:1 x 1,12,44,5,22,180,1,250,2,-88,SO-16 (Narrow) AS,18,3,250,
DG508B,8:1 x 1,12,44,5,22,180,1,250,2,-88,TSSOP-16,18,3,250,
DG508B,8:1 x 1,12,44,5,22,180,1,250,2,-88,miniQFN-16 (0.55mm),18,3,250,
DG509B,4:1 x 2,12,44,5,22,180,1,250,2,-88,Plastic DIP-16,11,3,250,
DG509B,4:1 x 2,12,44,5,22,180,1,250,2,-88,miniQFN-16 (0.55mm),11,3,250,
DG509B,4:1 x 2,12,44,5,22,180,1,250,2,-88,TSSOP-16,11,3,250,
DG509B,4:1 x 2,12,44,5,22,180,1,250,2,-88,SO-16 (Narrow) AS,11,3,250,
DG5143,SPDT x 2,13,36,7,22,75,5,175,150,-50,Plastic DIP-16,,,,
DG604E,4:1 x 1,3,16,3,8,64,18,61,-0.3,-65,miniQFN-16 (0.55mm),11,4.2,414,
DG604E,4:1 x 1,3,16,3,8,64,18,61,-0.3,-65,TSSOP-14,11,4.2,414,
DG611E,"SPST x 4, NC",3,16,3,8,72,0.1,50,1.4,-59,miniQFN-16 (0.55 mm),7,3,1000,
DG611E,"SPST x 4, NC",3,16,3,8,72,0.1,50,1.4,-59,TSSOP-16,7,3,1000,
DG611E,"SPST x 4, NC",3,16,3,8,72,0.1,50,1.4,-59,SO-16 (narrow) AS,7,3,1000,
DG612E,"SPST x 4, NO",3,16,3,8,72,0.1,50,1.4,-59,TSSOP-16,7,3,1000,
DG612E,"SPST x 4, NO",3,16,3,8,72,0.1,50,1.4,-59,SO-16 (narrow) AS,7,3,1000,
DG612E,"SPST x 4, NO",3,16,3,8,72,0.1,50,1.4,-59,miniQFN-16 (0.55 mm),7,3,1000,
DG613E,"SPST x 4, comp",3,16,3,8,72,0.1,50,1.4,-59,TSSOP-16,7,3,1000,
DG613E,"SPST x 4, comp",3,16,3,8,72,0.1,50,1.4,-59,SO-16 (narrow) AS,7,3,1000,
DG613E,"SPST x 4, comp",3,16,3,8,72,0.1,50,1.4,-59,miniQFN-16 (0.55 mm),7,3,1000,
DG636E,SPDT x 2,3,16,3,8,63,18,46,-0.33,-63,miniQFN-16 (0.55mm),8.4,3.7,700,
DG636E,SPDT x 2,3,16,3,8,63,18,46,-0.33,-63,TSSOP-14,8.4,3.7,700,
DG9232E,"SPST x 2, NC",2.7,5,,,17,,120,2,-80,SO-8 (Narrow) AS,,4,,
DG9232E,"SPST x 2, NC",2.7,5,,,17,,120,2,-80,MSOP-8,,4,,
DG9233E,"SPST x 2, NC",2.7,5,,,17,,120,2,-80,SO-8 (Narrow) AS,,4,,
DG9234E,"SPST x 2, NC",2.7,5,,,17,,120,2,-80,MSOP-8,,4,,
DG9408E,8:1 x 1,3,16,3,8,3.2,2,70,4.5,-83,QFN-16 4x4,,17,0,
DG9409E,4:1 x 2,3,16,3,8,3.2,2,70,4.5,-83,QFN-16 4x4,,16,0,
DG9411E,SPDT x 1,1.8,5.5,,,6,1.5,30,1,-77,SC-70-6,13,7,,
DG9421E,"SPST x 1, NC",3,16,3,8,1.7,100,36,19,-58,TSOP-6,68,34,179,
DG9422E,"SPST x 1, NO",3,16,3,8,1.7,100,36,19,-58,TSOP-6,68,34,179,
DG9424E,"SPST x 4, NO",3,16,3,8,1.6,1,51,38,-56,TSSOP-16,89,37,,
DG9424E,"SPST x 4, NO",3,16,3,8,1.6,1,51,38,-56,QFN-16 4 x 4,89,37,,
DG9425E,"SPST x 4, NC",3,16,3,8,1.6,1,51,38,-56,TSSOP-16,89,37,,
DG9425E,"SPST x 4, NC",3,16,3,8,1.6,1,51,38,-56,QFN-16 4 x 4,89,37,,
DG9426E,"SPST x 4, comp",3,16,3,8,1.6,1,51,38,-56,TSSOP-16,89,37,,
DG9426E,"SPST x 4, comp",3,16,3,8,1.6,1,51,38,-56,QFN-16 4 x 4,89,37,,
DG9431E,SPDT x 1,0,6,3,5,17,5,120,-0.28,-80,TSOP-6,7.8,3.8,,
DG9431E,SPDT x 1,0,6,3,5,17,5,120,-0.28,-80,SO-8 (Narrow) AS,7.8,3.8,,
DG9454E,2:1 x 3,2.7,13.2,,,85,1,130,5.84,-85,miniQFN-16 (0.55mm),,3.1,356,
DGQ2788A,DPDT x 2,1.8,5.5,,,0.37,0.5,50000,-245,-61,miniQFN-16 (0.55mm),26,14.5,338,
