Series▲▼;Product Image;Description▲▼;Mounting▲▼;Resistance at 25 °C(Ω)▲▼;R25Tolerance(±%)▲▼;B25/85(K)▲▼;B25/85Tolerance(±%)▲▼;Operating Temperature Range(°C)▲▼;Image path
NTCASCWE3;Enlarge;NTC Thermistors, Screw Threaded Sensors;;100000;2;4190;1.5;-25 to +100;image/thermistors/ntc/29065.png
NTCASCWE3;Enlarge;NTC Thermistors, Screw Threaded Sensors;;100000;5;4190;1.5;-25 to +100;image/thermistors/ntc/29065.png
NTCASCWE3;Enlarge;NTC Thermistors, Screw Threaded Sensors;;150000;5;4370;2.5;-25 to +100;image/thermistors/ntc/29065.png
NTCASCWE3;Enlarge;NTC Thermistors, Screw Threaded Sensors;;470000;5;4570;2;-25 to +100;image/thermistors/ntc/29065.png
NTCASCWE3C70001;Enlarge;NTC Thermistors, Screw Threaded Insulated Leads Sensors;assembly threaded screw mounting;10000;2;3984;0.5;-40 to +125;image/thermistors/ntc/29214.png
NTCASRFE3C90406 Ice Cube Sensor;Enlarge;NTC Thermistors, Ice Cube Sensors;;10000;1.92;3984;0.5;-55 to +50;image/thermistors/ntc/29122.png
NTCC100E4;Enlarge;Leadless NTC Thermistor Dies;;2200;1;3977;0.75;-40 to +125;image/thermistors/ntc/29058.png
NTCC100E4;Enlarge;Leadless NTC Thermistor Dies;;2200;2;3977;0.75;-40 to +125;image/thermistors/ntc/29058.png
NTCC100E4;Enlarge;Leadless NTC Thermistor Dies;;2200;3;3977;0.75;-40 to +125;image/thermistors/ntc/29058.png
NTCC100E4;Enlarge;Leadless NTC Thermistor Dies;;2200;5;3977;0.75;-40 to +125;image/thermistors/ntc/29058.png
NTCC100E4;Enlarge;Leadless NTC Thermistor Dies;;2700;1;3977;0.75;-40 to +125;image/thermistors/ntc/29058.png
NTCC100E4;Enlarge;Leadless NTC Thermistor Dies;;2700;2;3977;0.75;-40 to +125;image/thermistors/ntc/29058.png
NTCC100E4;Enlarge;Leadless NTC Thermistor Dies;;2700;3;3977;0.75;-40 to +125;image/thermistors/ntc/29058.png
NTCC100E4;Enlarge;Leadless NTC Thermistor Dies;;2700;5;3977;0.75;-40 to +125;image/thermistors/ntc/29058.png
NTCC100E4;Enlarge;Leadless NTC Thermistor Dies;;3300;1;3977;0.75;-40 to +125;image/thermistors/ntc/29058.png
NTCC100E4;Enlarge;Leadless NTC Thermistor Dies;;3300;2;3977;0.75;-40 to +125;image/thermistors/ntc/29058.png
NTCC100E4;Enlarge;Leadless NTC Thermistor Dies;;3300;3;3977;0.75;-40 to +125;image/thermistors/ntc/29058.png
NTCC100E4;Enlarge;Leadless NTC Thermistor Dies;;3300;5;3977;0.75;-40 to +125;image/thermistors/ntc/29058.png
NTCC100E4;Enlarge;Leadless NTC Thermistor Dies;;4700;1;3977;0.75;-40 to +125;image/thermistors/ntc/29058.png
NTCC100E4;Enlarge;Leadless NTC Thermistor Dies;;4700;2;3977;0.75;-40 to +125;image/thermistors/ntc/29058.png
NTCC100E4;Enlarge;Leadless NTC Thermistor Dies;;4700;3;3977;0.75;-40 to +125;image/thermistors/ntc/29058.png
NTCC100E4;Enlarge;Leadless NTC Thermistor Dies;;4700;5;3977;0.75;-40 to +125;image/thermistors/ntc/29058.png
NTCC100E4;Enlarge;Leadless NTC Thermistor Dies;;5000;1;3977;0.75;-40 to +125;image/thermistors/ntc/29058.png
NTCC100E4;Enlarge;Leadless NTC Thermistor Dies;;5000;2;3977;0.75;-40 to +125;image/thermistors/ntc/29058.png
NTCC100E4;Enlarge;Leadless NTC Thermistor Dies;;5000;3;3977;0.75;-40 to +125;image/thermistors/ntc/29058.png
NTCC100E4;Enlarge;Leadless NTC Thermistor Dies;;5000;5;3977;0.75;-40 to +125;image/thermistors/ntc/29058.png
NTCC100E4;Enlarge;Leadless NTC Thermistor Dies;;6000;1;3977;0.75;-40 to +125;image/thermistors/ntc/29058.png
NTCC100E4;Enlarge;Leadless NTC Thermistor Dies;;6000;2;3977;0.75;-40 to +125;image/thermistors/ntc/29058.png
NTCC100E4;Enlarge;Leadless NTC Thermistor Dies;;6000;3;3977;0.75;-40 to +125;image/thermistors/ntc/29058.png
NTCC100E4;Enlarge;Leadless NTC Thermistor Dies;;6000;5;3977;0.75;-40 to +125;image/thermistors/ntc/29058.png
NTCC100E4;Enlarge;Leadless NTC Thermistor Dies;;6800;1;3977;0.75;-40 to +125;image/thermistors/ntc/29058.png
NTCC100E4;Enlarge;Leadless NTC Thermistor Dies;;6800;2;3977;0.75;-40 to +125;image/thermistors/ntc/29058.png
NTCC100E4;Enlarge;Leadless NTC Thermistor Dies;;6800;3;3977;0.75;-40 to +125;image/thermistors/ntc/29058.png
NTCC100E4;Enlarge;Leadless NTC Thermistor Dies;;6800;5;3977;0.75;-40 to +125;image/thermistors/ntc/29058.png
NTCC100E4;Enlarge;Leadless NTC Thermistor Dies;;8000;1;3977;0.75;-40 to +125;image/thermistors/ntc/29058.png
NTCC100E4;Enlarge;Leadless NTC Thermistor Dies;;8000;2;3977;0.75;-40 to +125;image/thermistors/ntc/29058.png
NTCC100E4;Enlarge;Leadless NTC Thermistor Dies;;8000;3;3977;0.75;-40 to +125;image/thermistors/ntc/29058.png
NTCC100E4;Enlarge;Leadless NTC Thermistor Dies;;8000;5;3977;0.75;-40 to +125;image/thermistors/ntc/29058.png
NTCC100E4;Enlarge;Leadless NTC Thermistor Dies;;10000;1;3977;0.75;-40 to +125;image/thermistors/ntc/29058.png
NTCC100E4;Enlarge;Leadless NTC Thermistor Dies;;10000;2;3977;0.75;-40 to +125;image/thermistors/ntc/29058.png
NTCC100E4;Enlarge;Leadless NTC Thermistor Dies;;10000;3;3977;0.75;-40 to +125;image/thermistors/ntc/29058.png
NTCC100E4;Enlarge;Leadless NTC Thermistor Dies;;10000;5;3977;0.75;-40 to +125;image/thermistors/ntc/29058.png
NTCC100E4;Enlarge;Leadless NTC Thermistor Dies;;12000;1;3740;2;-40 to +125;image/thermistors/ntc/29058.png
NTCC100E4;Enlarge;Leadless NTC Thermistor Dies;;12000;2;3740;2;-40 to +125;image/thermistors/ntc/29058.png
NTCC100E4;Enlarge;Leadless NTC Thermistor Dies;;12000;3;3740;2;-40 to +125;image/thermistors/ntc/29058.png
NTCC100E4;Enlarge;Leadless NTC Thermistor Dies;;12000;5;3740;2;-40 to +125;image/thermistors/ntc/29058.png
NTCC100E4;Enlarge;Leadless NTC Thermistor Dies;;15000;1;3740;2;-40 to +125;image/thermistors/ntc/29058.png
NTCC100E4;Enlarge;Leadless NTC Thermistor Dies;;15000;2;3740;2;-40 to +125;image/thermistors/ntc/29058.png
NTCC100E4;Enlarge;Leadless NTC Thermistor Dies;;15000;3;3740;2;-40 to +125;image/thermistors/ntc/29058.png
NTCC100E4;Enlarge;Leadless NTC Thermistor Dies;;15000;5;3740;2;-40 to +125;image/thermistors/ntc/29058.png
NTCC100E4;Enlarge;Leadless NTC Thermistor Dies;;22000;1;3740;2;-40 to +125;image/thermistors/ntc/29058.png
NTCC100E4;Enlarge;Leadless NTC Thermistor Dies;;22000;2;3740;2;-40 to +125;image/thermistors/ntc/29058.png
NTCC100E4;Enlarge;Leadless NTC Thermistor Dies;;22000;3;3740;2;-40 to +125;image/thermistors/ntc/29058.png
NTCC100E4;Enlarge;Leadless NTC Thermistor Dies;;22000;5;3740;2;-40 to +125;image/thermistors/ntc/29058.png
NTCC100E4;Enlarge;Leadless NTC Thermistor Dies;;33000;1;4090;1.5;-40 to +125;image/thermistors/ntc/29058.png
NTCC100E4;Enlarge;Leadless NTC Thermistor Dies;;33000;2;4090;1.5;-40 to +125;image/thermistors/ntc/29058.png
NTCC100E4;Enlarge;Leadless NTC Thermistor Dies;;33000;3;4090;1.5;-40 to +125;image/thermistors/ntc/29058.png
NTCC100E4;Enlarge;Leadless NTC Thermistor Dies;;33000;5;4090;1.5;-40 to +125;image/thermistors/ntc/29058.png
NTCC100E4;Enlarge;Leadless NTC Thermistor Dies;;47000;1;4090;1.5;-40 to +125;image/thermistors/ntc/29058.png
NTCC100E4;Enlarge;Leadless NTC Thermistor Dies;;47000;2;4090;1.5;-40 to +125;image/thermistors/ntc/29058.png
NTCC100E4;Enlarge;Leadless NTC Thermistor Dies;;47000;3;4090;1.5;-40 to +125;image/thermistors/ntc/29058.png
NTCC100E4;Enlarge;Leadless NTC Thermistor Dies;;47000;5;4090;1.5;-40 to +125;image/thermistors/ntc/29058.png
NTCC100E4;Enlarge;Leadless NTC Thermistor Dies;;68000;1;4190;1.5;-40 to +125;image/thermistors/ntc/29058.png
NTCC100E4;Enlarge;Leadless NTC Thermistor Dies;;68000;2;4190;1.5;-40 to +125;image/thermistors/ntc/29058.png
NTCC100E4;Enlarge;Leadless NTC Thermistor Dies;;68000;3;4190;1.5;-40 to +125;image/thermistors/ntc/29058.png
NTCC100E4;Enlarge;Leadless NTC Thermistor Dies;;68000;5;4190;1.5;-40 to +125;image/thermistors/ntc/29058.png
NTCC100E4;Enlarge;Leadless NTC Thermistor Dies;;100000;1;4190;1.5;-40 to +125;image/thermistors/ntc/29058.png
NTCC100E4;Enlarge;Leadless NTC Thermistor Dies;;100000;2;4190;1.5;-40 to +125;image/thermistors/ntc/29058.png
NTCC100E4;Enlarge;Leadless NTC Thermistor Dies;;100000;3;4190;1.5;-40 to +125;image/thermistors/ntc/29058.png
NTCC100E4;Enlarge;Leadless NTC Thermistor Dies;;100000;5;4190;1.5;-40 to +125;image/thermistors/ntc/29058.png
NTCC100E4;Enlarge;Leadless NTC Thermistor Dies;;150000;1;4370;2.5;-40 to +125;image/thermistors/ntc/29058.png
NTCC100E4;Enlarge;Leadless NTC Thermistor Dies;;150000;2;4370;2.5;-40 to +125;image/thermistors/ntc/29058.png
NTCC100E4;Enlarge;Leadless NTC Thermistor Dies;;150000;3;4370;2.5;-40 to +125;image/thermistors/ntc/29058.png
NTCC100E4;Enlarge;Leadless NTC Thermistor Dies;;150000;5;4370;2.5;-40 to +125;image/thermistors/ntc/29058.png
NTCC100E4;Enlarge;Leadless NTC Thermistor Dies;;220000;1;4370;2.5;-40 to +125;image/thermistors/ntc/29058.png
NTCC100E4;Enlarge;Leadless NTC Thermistor Dies;;220000;2;4370;2.5;-40 to +125;image/thermistors/ntc/29058.png
NTCC100E4;Enlarge;Leadless NTC Thermistor Dies;;220000;3;4370;2.5;-40 to +125;image/thermistors/ntc/29058.png
NTCC100E4;Enlarge;Leadless NTC Thermistor Dies;;220000;5;4370;2.5;-40 to +125;image/thermistors/ntc/29058.png
NTCC100E4;Enlarge;Leadless NTC Thermistor Dies;;330000;1;4570;1.5;-40 to +125;image/thermistors/ntc/29058.png
NTCC100E4;Enlarge;Leadless NTC Thermistor Dies;;330000;2;4570;1.5;-40 to +125;image/thermistors/ntc/29058.png
NTCC100E4;Enlarge;Leadless NTC Thermistor Dies;;330000;3;4570;1.5;-40 to +125;image/thermistors/ntc/29058.png
NTCC100E4;Enlarge;Leadless NTC Thermistor Dies;;330000;5;4570;1.5;-40 to +125;image/thermistors/ntc/29058.png
NTCC100E4;Enlarge;Leadless NTC Thermistor Dies;;470000;1;4570;1.5;-40 to +125;image/thermistors/ntc/29058.png
NTCC100E4;Enlarge;Leadless NTC Thermistor Dies;;470000;2;4570;1.5;-40 to +125;image/thermistors/ntc/29058.png
NTCC100E4;Enlarge;Leadless NTC Thermistor Dies;;470000;3;4570;1.5;-40 to +125;image/thermistors/ntc/29058.png
NTCC100E4;Enlarge;Leadless NTC Thermistor Dies;;470000;5;4570;1.5;-40 to +125;image/thermistors/ntc/29058.png
NTCC200E4, NTCC300E4;Enlarge;Leadless NTC Thermistor Die Suitable For Wire Bonding;;4700;1;3435;1;-55 to +175;image/thermistors/ntc/29153.png
NTCC200E4, NTCC300E4;Enlarge;Leadless NTC Thermistor Die Suitable For Wire Bonding;;4700;2;3435;1;-55 to +175;image/thermistors/ntc/29153.png
NTCC200E4, NTCC300E4;Enlarge;Leadless NTC Thermistor Die Suitable For Wire Bonding;;4700;3;3435;1;-55 to +175;image/thermistors/ntc/29153.png
NTCC200E4, NTCC300E4;Enlarge;Leadless NTC Thermistor Die Suitable For Wire Bonding;;4700;5;3435;1;-55 to +175;image/thermistors/ntc/29153.png
NTCC200E4, NTCC300E4;Enlarge;Leadless NTC Thermistor Die Suitable For Wire Bonding;;12000;1;3740;1;-55 to +175;image/thermistors/ntc/29153.png
NTCC200E4, NTCC300E4;Enlarge;Leadless NTC Thermistor Die Suitable For Wire Bonding;;12000;2;3740;1;-55 to +175;image/thermistors/ntc/29153.png
NTCC200E4, NTCC300E4;Enlarge;Leadless NTC Thermistor Die Suitable For Wire Bonding;;12000;3;3740;1;-55 to +175;image/thermistors/ntc/29153.png
NTCC200E4, NTCC300E4;Enlarge;Leadless NTC Thermistor Die Suitable For Wire Bonding;;12000;5;3740;1;-55 to +175;image/thermistors/ntc/29153.png
NTCC200E4, NTCC300E4;Enlarge;Leadless NTC Thermistor Die Suitable For Wire Bonding;;20000;1;3865;1;-55 to +175;image/thermistors/ntc/29153.png
NTCC200E4, NTCC300E4;Enlarge;Leadless NTC Thermistor Die Suitable For Wire Bonding;;20000;2;3865;1;-55 to +175;image/thermistors/ntc/29153.png
NTCC200E4, NTCC300E4;Enlarge;Leadless NTC Thermistor Die Suitable For Wire Bonding;;20000;3;3865;1;-55 to +175;image/thermistors/ntc/29153.png
NTCC200E4, NTCC300E4;Enlarge;Leadless NTC Thermistor Die Suitable For Wire Bonding;;20000;5;3865;1;-55 to +175;image/thermistors/ntc/29153.png
NTCC200E4C90008;Enlarge;Leadless NTC Thermistor Die Intended for Wire Bonding;;5063;7.43;3435;1;-55 to +175;image/thermistors/ntc/29168.png
NTCC201E4;Enlarge;Enhanced Leadless NTC Thermistor Die Suitable For Wire Bonding;;4700;1;3435;1;-55 to +175;image/thermistors/ntc/29226.png
NTCC201E4;Enlarge;Enhanced Leadless NTC Thermistor Die Suitable For Wire Bonding;;4700;2;3435;1;-55 to +175;image/thermistors/ntc/29226.png
NTCC201E4;Enlarge;Enhanced Leadless NTC Thermistor Die Suitable For Wire Bonding;;4700;3;3435;1;-55 to +175;image/thermistors/ntc/29226.png
NTCC201E4;Enlarge;Enhanced Leadless NTC Thermistor Die Suitable For Wire Bonding;;4700;5;3435;1;-55 to +175;image/thermistors/ntc/29226.png
NTCC201E4;Enlarge;Enhanced Leadless NTC Thermistor Die Suitable For Wire Bonding;;5000;1;3435;1;-55 to +175;image/thermistors/ntc/29226.png
NTCC201E4;Enlarge;Enhanced Leadless NTC Thermistor Die Suitable For Wire Bonding;;5000;2;3435;1;-55 to +175;image/thermistors/ntc/29226.png
NTCC201E4;Enlarge;Enhanced Leadless NTC Thermistor Die Suitable For Wire Bonding;;5000;3;3435;1;-55 to +175;image/thermistors/ntc/29226.png
NTCC201E4;Enlarge;Enhanced Leadless NTC Thermistor Die Suitable For Wire Bonding;;5000;5;3435;1;-55 to +175;image/thermistors/ntc/29226.png
NTCC201E4;Enlarge;Enhanced Leadless NTC Thermistor Die Suitable For Wire Bonding;;10000;1;3435;1;-55 to +175;image/thermistors/ntc/29226.png
NTCC201E4;Enlarge;Enhanced Leadless NTC Thermistor Die Suitable For Wire Bonding;;10000;2;3435;1;-55 to +175;image/thermistors/ntc/29226.png
NTCC201E4;Enlarge;Enhanced Leadless NTC Thermistor Die Suitable For Wire Bonding;;10000;3;3435;1;-55 to +175;image/thermistors/ntc/29226.png
NTCC201E4;Enlarge;Enhanced Leadless NTC Thermistor Die Suitable For Wire Bonding;;10000;5;3435;1;-55 to +175;image/thermistors/ntc/29226.png
NTCC201E4;Enlarge;Enhanced Leadless NTC Thermistor Die Suitable For Wire Bonding;;20000;1;3865;1;-55 to +175;image/thermistors/ntc/29226.png
NTCC201E4;Enlarge;Enhanced Leadless NTC Thermistor Die Suitable For Wire Bonding;;20000;2;3865;1;-55 to +175;image/thermistors/ntc/29226.png
NTCC201E4;Enlarge;Enhanced Leadless NTC Thermistor Die Suitable For Wire Bonding;;20000;3;3865;1;-55 to +175;image/thermistors/ntc/29226.png
NTCC201E4;Enlarge;Enhanced Leadless NTC Thermistor Die Suitable For Wire Bonding;;20000;5;3865;1;-55 to +175;image/thermistors/ntc/29226.png
NTCLE100E3;Enlarge;NTC Thermistors, Radial Leaded, Standard Precision;radial;3.3;5;2880;3;-40 to +125;image/thermistors/ntc/29049.png
NTCLE100E3;Enlarge;NTC Thermistors, Radial Leaded, Standard Precision;radial;4.7;5;2880;3;-40 to +125;image/thermistors/ntc/29049.png
NTCLE100E3;Enlarge;NTC Thermistors, Radial Leaded, Standard Precision;radial;6.8;5;2880;3;-40 to +125;image/thermistors/ntc/29049.png
NTCLE100E3;Enlarge;NTC Thermistors, Radial Leaded, Standard Precision;radial;10;5;2990;3;-40 to +125;image/thermistors/ntc/29049.png
NTCLE100E3;Enlarge;NTC Thermistors, Radial Leaded, Standard Precision;radial;15;5;3041;3;-40 to +125;image/thermistors/ntc/29049.png
NTCLE100E3;Enlarge;NTC Thermistors, Radial Leaded, Standard Precision;radial;22;5;3136;3;-40 to +125;image/thermistors/ntc/29049.png
NTCLE100E3;Enlarge;NTC Thermistors, Radial Leaded, Standard Precision;radial;33;5;3390;3;-40 to +125;image/thermistors/ntc/29049.png
NTCLE100E3;Enlarge;NTC Thermistors, Radial Leaded, Standard Precision;radial;47;5;3390;3;-40 to +125;image/thermistors/ntc/29049.png
NTCLE100E3;Enlarge;NTC Thermistors, Radial Leaded, Standard Precision;radial;68;5;3390;3;-40 to +125;image/thermistors/ntc/29049.png
NTCLE100E3;Enlarge;NTC Thermistors, Radial Leaded, Standard Precision;radial;100;5;3560;1.5;-40 to +125;image/thermistors/ntc/29049.png
NTCLE100E3;Enlarge;NTC Thermistors, Radial Leaded, Standard Precision;radial;150;5;3560;1.5;-40 to +125;image/thermistors/ntc/29049.png
NTCLE100E3;Enlarge;NTC Thermistors, Radial Leaded, Standard Precision;radial;220;5;3560;1.5;-40 to +125;image/thermistors/ntc/29049.png
NTCLE100E3;Enlarge;NTC Thermistors, Radial Leaded, Standard Precision;radial;330;5;3560;1.5;-40 to +125;image/thermistors/ntc/29049.png
NTCLE100E3;Enlarge;NTC Thermistors, Radial Leaded, Standard Precision;radial;470;5;3560;1.5;-40 to +125;image/thermistors/ntc/29049.png
NTCLE100E3;Enlarge;NTC Thermistors, Radial Leaded, Standard Precision;radial;680;5;3560;1.5;-40 to +125;image/thermistors/ntc/29049.png
NTCLE100E3;Enlarge;NTC Thermistors, Radial Leaded, Standard Precision;radial;1000;2;3528;0.5;-40 to +125;image/thermistors/ntc/29049.png
NTCLE100E3;Enlarge;NTC Thermistors, Radial Leaded, Standard Precision;radial;1000;3;3528;0.5;-40 to +125;image/thermistors/ntc/29049.png
NTCLE100E3;Enlarge;NTC Thermistors, Radial Leaded, Standard Precision;radial;1000;5;3528;0.5;-40 to +125;image/thermistors/ntc/29049.png
NTCLE100E3;Enlarge;NTC Thermistors, Radial Leaded, Standard Precision;radial;1500;2;3528;0.5;-40 to +125;image/thermistors/ntc/29049.png
NTCLE100E3;Enlarge;NTC Thermistors, Radial Leaded, Standard Precision;radial;1500;3;3528;0.5;-40 to +125;image/thermistors/ntc/29049.png
