Part Number▲▼;Product Image;Description▲▼;Voltage▲▼;Capacitance▲▼;Dielectric▲▼;Lead Spacing(mm/inch)▲▼;Packaging▲▼;Lead Style▲▼;Image path
AY2330K29U2JS6TV0;Enlarge;Automotive Grade EMI Suppression Safety Capacitor, Ceramic Disc, Class X1, 440 VAC, Class Y2, 300 VAC;440  (X1) 300  (Y2);33;U2J;10 mm / 0.400 inch;Reel;Inline Wire;image/capacitors/ceramic/ceramic-singlelayer/28550.png
AY2330K29U2JS6TV5;Enlarge;Automotive Grade EMI Suppression Safety Capacitor, Ceramic Disc, Class X1, 440 VAC, Class Y2, 300 VAC;440  (X1) 300  (Y2);33;U2J;5 mm / 0.200 inch;Reel;Inline Wire;image/capacitors/ceramic/ceramic-singlelayer/28550.png
AY2330K29U2JS6TV7;Enlarge;Automotive Grade EMI Suppression Safety Capacitor, Ceramic Disc, Class X1, 440 VAC, Class Y2, 300 VAC;440  (X1) 300  (Y2);33;U2J;7.5 mm / 0.300 inch;Reel;Inline Wire;image/capacitors/ceramic/ceramic-singlelayer/28550.png
AY2330K29U2JS6UL0;Enlarge;Automotive Grade EMI Suppression Safety Capacitor, Ceramic Disc, Class X1, 440 VAC, Class Y2, 300 VAC;440  (X1) 300  (Y2);33;U2J;10 mm / 0.400 inch;Ammo;Straight;image/capacitors/ceramic/ceramic-singlelayer/28550.png
AY2330K29U2JS6UL5;Enlarge;Automotive Grade EMI Suppression Safety Capacitor, Ceramic Disc, Class X1, 440 VAC, Class Y2, 300 VAC;440  (X1) 300  (Y2);33;U2J;5 mm / 0.200 inch;Ammo;Straight;image/capacitors/ceramic/ceramic-singlelayer/28550.png
AY2330K29U2JS6UL7;Enlarge;Automotive Grade EMI Suppression Safety Capacitor, Ceramic Disc, Class X1, 440 VAC, Class Y2, 300 VAC;440  (X1) 300  (Y2);33;U2J;7.5 mm / 0.300 inch;Ammo;Straight;image/capacitors/ceramic/ceramic-singlelayer/28550.png
AY2330K29U2JS6UV0;Enlarge;Automotive Grade EMI Suppression Safety Capacitor, Ceramic Disc, Class X1, 440 VAC, Class Y2, 300 VAC;440  (X1) 300  (Y2);33;U2J;10 mm / 0.400 inch;Ammo;Inline Wire;image/capacitors/ceramic/ceramic-singlelayer/28550.png
AY2330K29U2JS6UV5;Enlarge;Automotive Grade EMI Suppression Safety Capacitor, Ceramic Disc, Class X1, 440 VAC, Class Y2, 300 VAC;440  (X1) 300  (Y2);33;U2J;5 mm / 0.200 inch;Ammo;Inline Wire;image/capacitors/ceramic/ceramic-singlelayer/28550.png
AY2330K29U2JS6UV7;Enlarge;Automotive Grade EMI Suppression Safety Capacitor, Ceramic Disc, Class X1, 440 VAC, Class Y2, 300 VAC;440  (X1) 300  (Y2);33;U2J;7.5 mm / 0.300 inch;Ammo;Inline Wire;image/capacitors/ceramic/ceramic-singlelayer/28550.png
AY2331K29Y5SS63L0;Enlarge;Automotive Grade EMI Suppression Safety Capacitor, Ceramic Disc, Class X1, 440 VAC, Class Y2, 300 VAC;440  (X1) 300  (Y2);330;Y5S;10 mm / 0.400 inch;Bulk;Straight;image/capacitors/ceramic/ceramic-singlelayer/28550.png
AY2331K29Y5SS63L5;Enlarge;Automotive Grade EMI Suppression Safety Capacitor, Ceramic Disc, Class X1, 440 VAC, Class Y2, 300 VAC;440  (X1) 300  (Y2);330;Y5S;5 mm / 0.200 inch;Bulk;Straight;image/capacitors/ceramic/ceramic-singlelayer/28550.png
AY2331K29Y5SS63L7;Enlarge;Automotive Grade EMI Suppression Safety Capacitor, Ceramic Disc, Class X1, 440 VAC, Class Y2, 300 VAC;440  (X1) 300  (Y2);330;Y5S;7.5 mm / 0.300 inch;Bulk;Straight;image/capacitors/ceramic/ceramic-singlelayer/28550.png
AY2331K29Y5SS63V0;Enlarge;Automotive Grade EMI Suppression Safety Capacitor, Ceramic Disc, Class X1, 440 VAC, Class Y2, 300 VAC;440  (X1) 300  (Y2);330;Y5S;10 mm / 0.400 inch;Bulk;Inline Wire;image/capacitors/ceramic/ceramic-singlelayer/28550.png
AY2331K29Y5SS63V5;Enlarge;Automotive Grade EMI Suppression Safety Capacitor, Ceramic Disc, Class X1, 440 VAC, Class Y2, 300 VAC;440  (X1) 300  (Y2);330;Y5S;5 mm / 0.200 inch;Bulk;Inline Wire;image/capacitors/ceramic/ceramic-singlelayer/28550.png
AY2331K29Y5SS63V7;Enlarge;Automotive Grade EMI Suppression Safety Capacitor, Ceramic Disc, Class X1, 440 VAC, Class Y2, 300 VAC;440  (X1) 300  (Y2);330;Y5S;7.5 mm / 0.300 inch;Bulk;Inline Wire;image/capacitors/ceramic/ceramic-singlelayer/28550.png
AY2331K29Y5SS6TL0;Enlarge;Automotive Grade EMI Suppression Safety Capacitor, Ceramic Disc, Class X1, 440 VAC, Class Y2, 300 VAC;440  (X1) 300  (Y2);330;Y5S;10 mm / 0.400 inch;Reel;Straight;image/capacitors/ceramic/ceramic-singlelayer/28550.png
AY2331K29Y5SS6TL5;Enlarge;Automotive Grade EMI Suppression Safety Capacitor, Ceramic Disc, Class X1, 440 VAC, Class Y2, 300 VAC;440  (X1) 300  (Y2);330;Y5S;5 mm / 0.200 inch;Reel;Straight;image/capacitors/ceramic/ceramic-singlelayer/28550.png
AY2331K29Y5SS6TL7;Enlarge;Automotive Grade EMI Suppression Safety Capacitor, Ceramic Disc, Class X1, 440 VAC, Class Y2, 300 VAC;440  (X1) 300  (Y2);330;Y5S;7.5 mm / 0.300 inch;Reel;Straight;image/capacitors/ceramic/ceramic-singlelayer/28550.png
AY2331K29Y5SS6TV0;Enlarge;Automotive Grade EMI Suppression Safety Capacitor, Ceramic Disc, Class X1, 440 VAC, Class Y2, 300 VAC;440  (X1) 300  (Y2);330;Y5S;10 mm / 0.400 inch;Reel;Inline Wire;image/capacitors/ceramic/ceramic-singlelayer/28550.png
AY2331K29Y5SS6TV5;Enlarge;Automotive Grade EMI Suppression Safety Capacitor, Ceramic Disc, Class X1, 440 VAC, Class Y2, 300 VAC;440  (X1) 300  (Y2);330;Y5S;5 mm / 0.200 inch;Reel;Inline Wire;image/capacitors/ceramic/ceramic-singlelayer/28550.png
AY2331K29Y5SS6TV7;Enlarge;Automotive Grade EMI Suppression Safety Capacitor, Ceramic Disc, Class X1, 440 VAC, Class Y2, 300 VAC;440  (X1) 300  (Y2);330;Y5S;7.5 mm / 0.300 inch;Reel;Inline Wire;image/capacitors/ceramic/ceramic-singlelayer/28550.png
AY2331K29Y5SS6UL0;Enlarge;Automotive Grade EMI Suppression Safety Capacitor, Ceramic Disc, Class X1, 440 VAC, Class Y2, 300 VAC;440  (X1) 300  (Y2);330;Y5S;10 mm / 0.400 inch;Ammo;Straight;image/capacitors/ceramic/ceramic-singlelayer/28550.png
AY2331K29Y5SS6UL5;Enlarge;Automotive Grade EMI Suppression Safety Capacitor, Ceramic Disc, Class X1, 440 VAC, Class Y2, 300 VAC;440  (X1) 300  (Y2);330;Y5S;5 mm / 0.200 inch;Ammo;Straight;image/capacitors/ceramic/ceramic-singlelayer/28550.png
AY2331K29Y5SS6UL7;Enlarge;Automotive Grade EMI Suppression Safety Capacitor, Ceramic Disc, Class X1, 440 VAC, Class Y2, 300 VAC;440  (X1) 300  (Y2);330;Y5S;7.5 mm / 0.300 inch;Ammo;Straight;image/capacitors/ceramic/ceramic-singlelayer/28550.png
AY2331K29Y5SS6UV0;Enlarge;Automotive Grade EMI Suppression Safety Capacitor, Ceramic Disc, Class X1, 440 VAC, Class Y2, 300 VAC;440  (X1) 300  (Y2);330;Y5S;10 mm / 0.400 inch;Ammo;Inline Wire;image/capacitors/ceramic/ceramic-singlelayer/28550.png
AY2331K29Y5SS6UV5;Enlarge;Automotive Grade EMI Suppression Safety Capacitor, Ceramic Disc, Class X1, 440 VAC, Class Y2, 300 VAC;440  (X1) 300  (Y2);330;Y5S;5 mm / 0.200 inch;Ammo;Inline Wire;image/capacitors/ceramic/ceramic-singlelayer/28550.png
AY2331K29Y5SS6UV7;Enlarge;Automotive Grade EMI Suppression Safety Capacitor, Ceramic Disc, Class X1, 440 VAC, Class Y2, 300 VAC;440  (X1) 300  (Y2);330;Y5S;7.5 mm / 0.300 inch;Ammo;Inline Wire;image/capacitors/ceramic/ceramic-singlelayer/28550.png
AY2332M41Y5US63L0;Enlarge;Automotive Grade EMI Suppression Safety Capacitor, Ceramic Disc, Class X1, 440 VAC, Class Y2, 300 VAC;440  (X1) 300  (Y2);3300;Y5U;10 mm / 0.400 inch;Bulk;Straight;image/capacitors/ceramic/ceramic-singlelayer/28550.png
AY2332M41Y5US63L5;Enlarge;Automotive Grade EMI Suppression Safety Capacitor, Ceramic Disc, Class X1, 440 VAC, Class Y2, 300 VAC;440  (X1) 300  (Y2);3300;Y5U;5 mm / 0.200 inch;Bulk;Straight;image/capacitors/ceramic/ceramic-singlelayer/28550.png
AY2332M41Y5US63L7;Enlarge;Automotive Grade EMI Suppression Safety Capacitor, Ceramic Disc, Class X1, 440 VAC, Class Y2, 300 VAC;440  (X1) 300  (Y2);3300;Y5U;7.5 mm / 0.300 inch;Bulk;Straight;image/capacitors/ceramic/ceramic-singlelayer/28550.png
AY2332M41Y5US63V0;Enlarge;Automotive Grade EMI Suppression Safety Capacitor, Ceramic Disc, Class X1, 440 VAC, Class Y2, 300 VAC;440  (X1) 300  (Y2);3300;Y5U;10 mm / 0.400 inch;Bulk;Inline Wire;image/capacitors/ceramic/ceramic-singlelayer/28550.png
AY2332M41Y5US63V5;Enlarge;Automotive Grade EMI Suppression Safety Capacitor, Ceramic Disc, Class X1, 440 VAC, Class Y2, 300 VAC;440  (X1) 300  (Y2);3300;Y5U;5 mm / 0.200 inch;Bulk;Inline Wire;image/capacitors/ceramic/ceramic-singlelayer/28550.png
AY2332M41Y5US63V7;Enlarge;Automotive Grade EMI Suppression Safety Capacitor, Ceramic Disc, Class X1, 440 VAC, Class Y2, 300 VAC;440  (X1) 300  (Y2);3300;Y5U;7.5 mm / 0.300 inch;Bulk;Inline Wire;image/capacitors/ceramic/ceramic-singlelayer/28550.png
AY2332M41Y5US6TL0;Enlarge;Automotive Grade EMI Suppression Safety Capacitor, Ceramic Disc, Class X1, 440 VAC, Class Y2, 300 VAC;440  (X1) 300  (Y2);3300;Y5U;10 mm / 0.400 inch;Reel;Straight;image/capacitors/ceramic/ceramic-singlelayer/28550.png
AY2332M41Y5US6TL5;Enlarge;Automotive Grade EMI Suppression Safety Capacitor, Ceramic Disc, Class X1, 440 VAC, Class Y2, 300 VAC;440  (X1) 300  (Y2);3300;Y5U;5 mm / 0.200 inch;Reel;Straight;image/capacitors/ceramic/ceramic-singlelayer/28550.png
AY2332M41Y5US6TL7;Enlarge;Automotive Grade EMI Suppression Safety Capacitor, Ceramic Disc, Class X1, 440 VAC, Class Y2, 300 VAC;440  (X1) 300  (Y2);3300;Y5U;7.5 mm / 0.300 inch;Reel;Straight;image/capacitors/ceramic/ceramic-singlelayer/28550.png
AY2332M41Y5US6TV0;Enlarge;Automotive Grade EMI Suppression Safety Capacitor, Ceramic Disc, Class X1, 440 VAC, Class Y2, 300 VAC;440  (X1) 300  (Y2);3300;Y5U;10 mm / 0.400 inch;Reel;Inline Wire;image/capacitors/ceramic/ceramic-singlelayer/28550.png
AY2332M41Y5US6TV5;Enlarge;Automotive Grade EMI Suppression Safety Capacitor, Ceramic Disc, Class X1, 440 VAC, Class Y2, 300 VAC;440  (X1) 300  (Y2);3300;Y5U;5 mm / 0.200 inch;Reel;Inline Wire;image/capacitors/ceramic/ceramic-singlelayer/28550.png
AY2332M41Y5US6TV7;Enlarge;Automotive Grade EMI Suppression Safety Capacitor, Ceramic Disc, Class X1, 440 VAC, Class Y2, 300 VAC;440  (X1) 300  (Y2);3300;Y5U;7.5 mm / 0.300 inch;Reel;Inline Wire;image/capacitors/ceramic/ceramic-singlelayer/28550.png
AY2332M41Y5US6UL0;Enlarge;Automotive Grade EMI Suppression Safety Capacitor, Ceramic Disc, Class X1, 440 VAC, Class Y2, 300 VAC;440  (X1) 300  (Y2);3300;Y5U;10 mm / 0.400 inch;Ammo;Straight;image/capacitors/ceramic/ceramic-singlelayer/28550.png
AY2332M41Y5US6UL5;Enlarge;Automotive Grade EMI Suppression Safety Capacitor, Ceramic Disc, Class X1, 440 VAC, Class Y2, 300 VAC;440  (X1) 300  (Y2);3300;Y5U;5 mm / 0.200 inch;Ammo;Straight;image/capacitors/ceramic/ceramic-singlelayer/28550.png
AY2332M41Y5US6UL7;Enlarge;Automotive Grade EMI Suppression Safety Capacitor, Ceramic Disc, Class X1, 440 VAC, Class Y2, 300 VAC;440  (X1) 300  (Y2);3300;Y5U;7.5 mm / 0.300 inch;Ammo;Straight;image/capacitors/ceramic/ceramic-singlelayer/28550.png
AY2332M41Y5US6UV0;Enlarge;Automotive Grade EMI Suppression Safety Capacitor, Ceramic Disc, Class X1, 440 VAC, Class Y2, 300 VAC;440  (X1) 300  (Y2);3300;Y5U;10 mm / 0.400 inch;Ammo;Inline Wire;image/capacitors/ceramic/ceramic-singlelayer/28550.png
AY2332M41Y5US6UV5;Enlarge;Automotive Grade EMI Suppression Safety Capacitor, Ceramic Disc, Class X1, 440 VAC, Class Y2, 300 VAC;440  (X1) 300  (Y2);3300;Y5U;5 mm / 0.200 inch;Ammo;Inline Wire;image/capacitors/ceramic/ceramic-singlelayer/28550.png
AY2332M41Y5US6UV7;Enlarge;Automotive Grade EMI Suppression Safety Capacitor, Ceramic Disc, Class X1, 440 VAC, Class Y2, 300 VAC;440  (X1) 300  (Y2);3300;Y5U;7.5 mm / 0.300 inch;Ammo;Inline Wire;image/capacitors/ceramic/ceramic-singlelayer/28550.png
AY2392K43Y5US63L0;Enlarge;Automotive Grade EMI Suppression Safety Capacitor, Ceramic Disc, Class X1, 440 VAC, Class Y2, 300 VAC;440  (X1) 300  (Y2);3900;Y5U;10 mm / 0.400 inch;Bulk;Straight;image/capacitors/ceramic/ceramic-singlelayer/28550.png
AY2392K43Y5US63L5;Enlarge;Automotive Grade EMI Suppression Safety Capacitor, Ceramic Disc, Class X1, 440 VAC, Class Y2, 300 VAC;440  (X1) 300  (Y2);3900;Y5U;5 mm / 0.200 inch;Bulk;Straight;image/capacitors/ceramic/ceramic-singlelayer/28550.png
AY2392K43Y5US63L7;Enlarge;Automotive Grade EMI Suppression Safety Capacitor, Ceramic Disc, Class X1, 440 VAC, Class Y2, 300 VAC;440  (X1) 300  (Y2);3900;Y5U;7.5 mm / 0.300 inch;Bulk;Straight;image/capacitors/ceramic/ceramic-singlelayer/28550.png
AY2392K43Y5US63V0;Enlarge;Automotive Grade EMI Suppression Safety Capacitor, Ceramic Disc, Class X1, 440 VAC, Class Y2, 300 VAC;440  (X1) 300  (Y2);3900;Y5U;10 mm / 0.400 inch;Bulk;Inline Wire;image/capacitors/ceramic/ceramic-singlelayer/28550.png
AY2392K43Y5US63V5;Enlarge;Automotive Grade EMI Suppression Safety Capacitor, Ceramic Disc, Class X1, 440 VAC, Class Y2, 300 VAC;440  (X1) 300  (Y2);3900;Y5U;5 mm / 0.200 inch;Bulk;Inline Wire;image/capacitors/ceramic/ceramic-singlelayer/28550.png
AY2392K43Y5US63V7;Enlarge;Automotive Grade EMI Suppression Safety Capacitor, Ceramic Disc, Class X1, 440 VAC, Class Y2, 300 VAC;440  (X1) 300  (Y2);3900;Y5U;7.5 mm / 0.300 inch;Bulk;Inline Wire;image/capacitors/ceramic/ceramic-singlelayer/28550.png
AY2392K43Y5US6TL0;Enlarge;Automotive Grade EMI Suppression Safety Capacitor, Ceramic Disc, Class X1, 440 VAC, Class Y2, 300 VAC;440  (X1) 300  (Y2);3900;Y5U;10 mm / 0.400 inch;Reel;Straight;image/capacitors/ceramic/ceramic-singlelayer/28550.png
AY2392K43Y5US6TL5;Enlarge;Automotive Grade EMI Suppression Safety Capacitor, Ceramic Disc, Class X1, 440 VAC, Class Y2, 300 VAC;440  (X1) 300  (Y2);3900;Y5U;5 mm / 0.200 inch;Reel;Straight;image/capacitors/ceramic/ceramic-singlelayer/28550.png
AY2392K43Y5US6TL7;Enlarge;Automotive Grade EMI Suppression Safety Capacitor, Ceramic Disc, Class X1, 440 VAC, Class Y2, 300 VAC;440  (X1) 300  (Y2);3900;Y5U;7.5 mm / 0.300 inch;Reel;Straight;image/capacitors/ceramic/ceramic-singlelayer/28550.png
AY2392K43Y5US6TV0;Enlarge;Automotive Grade EMI Suppression Safety Capacitor, Ceramic Disc, Class X1, 440 VAC, Class Y2, 300 VAC;440  (X1) 300  (Y2);3900;Y5U;10 mm / 0.400 inch;Reel;Inline Wire;image/capacitors/ceramic/ceramic-singlelayer/28550.png
AY2392K43Y5US6TV5;Enlarge;Automotive Grade EMI Suppression Safety Capacitor, Ceramic Disc, Class X1, 440 VAC, Class Y2, 300 VAC;440  (X1) 300  (Y2);3900;Y5U;5 mm / 0.200 inch;Reel;Inline Wire;image/capacitors/ceramic/ceramic-singlelayer/28550.png
AY2392K43Y5US6TV7;Enlarge;Automotive Grade EMI Suppression Safety Capacitor, Ceramic Disc, Class X1, 440 VAC, Class Y2, 300 VAC;440  (X1) 300  (Y2);3900;Y5U;7.5 mm / 0.300 inch;Reel;Inline Wire;image/capacitors/ceramic/ceramic-singlelayer/28550.png
AY2392K43Y5US6UL0;Enlarge;Automotive Grade EMI Suppression Safety Capacitor, Ceramic Disc, Class X1, 440 VAC, Class Y2, 300 VAC;440  (X1) 300  (Y2);3900;Y5U;10 mm / 0.400 inch;Ammo;Straight;image/capacitors/ceramic/ceramic-singlelayer/28550.png
AY2392K43Y5US6UL5;Enlarge;Automotive Grade EMI Suppression Safety Capacitor, Ceramic Disc, Class X1, 440 VAC, Class Y2, 300 VAC;440  (X1) 300  (Y2);3900;Y5U;5 mm / 0.200 inch;Ammo;Straight;image/capacitors/ceramic/ceramic-singlelayer/28550.png
AY2392K43Y5US6UL7;Enlarge;Automotive Grade EMI Suppression Safety Capacitor, Ceramic Disc, Class X1, 440 VAC, Class Y2, 300 VAC;440  (X1) 300  (Y2);3900;Y5U;7.5 mm / 0.300 inch;Ammo;Straight;image/capacitors/ceramic/ceramic-singlelayer/28550.png
AY2392K43Y5US6UV0;Enlarge;Automotive Grade EMI Suppression Safety Capacitor, Ceramic Disc, Class X1, 440 VAC, Class Y2, 300 VAC;440  (X1) 300  (Y2);3900;Y5U;10 mm / 0.400 inch;Ammo;Inline Wire;image/capacitors/ceramic/ceramic-singlelayer/28550.png
AY2392K43Y5US6UV5;Enlarge;Automotive Grade EMI Suppression Safety Capacitor, Ceramic Disc, Class X1, 440 VAC, Class Y2, 300 VAC;440  (X1) 300  (Y2);3900;Y5U;5 mm / 0.200 inch;Ammo;Inline Wire;image/capacitors/ceramic/ceramic-singlelayer/28550.png
AY2392K43Y5US6UV7;Enlarge;Automotive Grade EMI Suppression Safety Capacitor, Ceramic Disc, Class X1, 440 VAC, Class Y2, 300 VAC;440  (X1) 300  (Y2);3900;Y5U;7.5 mm / 0.300 inch;Ammo;Inline Wire;image/capacitors/ceramic/ceramic-singlelayer/28550.png
AY2392M43Y5US63L7;Enlarge;Automotive Grade EMI Suppression Safety Capacitor, Ceramic Disc, Class X1, 440 VAC, Class Y2, 300 VAC;440  (X1) 300  (Y2);3900;Y5U;7.5 mm / 0.300 inch;Bulk;Straight;image/capacitors/ceramic/ceramic-singlelayer/28550.png
AY2392M43Y5US6TL7;Enlarge;Automotive Grade EMI Suppression Safety Capacitor, Ceramic Disc, Class X1, 440 VAC, Class Y2, 300 VAC;440  (X1) 300  (Y2);3900;Y5U;7.5 mm / 0.300 inch;Reel;Straight;image/capacitors/ceramic/ceramic-singlelayer/28550.png
AY2392M43Y5US6UL7;Enlarge;Automotive Grade EMI Suppression Safety Capacitor, Ceramic Disc, Class X1, 440 VAC, Class Y2, 300 VAC;440  (X1) 300  (Y2);3900;Y5U;7.5 mm / 0.300 inch;Ammo;Straight;image/capacitors/ceramic/ceramic-singlelayer/28550.png
AY2470K29U2JS63L0;Enlarge;Automotive Grade EMI Suppression Safety Capacitor, Ceramic Disc, Class X1, 440 VAC, Class Y2, 300 VAC;440  (X1) 300  (Y2);47;U2J;10 mm / 0.400 inch;Bulk;Straight;image/capacitors/ceramic/ceramic-singlelayer/28550.png
AY2470K29U2JS63L5;Enlarge;Automotive Grade EMI Suppression Safety Capacitor, Ceramic Disc, Class X1, 440 VAC, Class Y2, 300 VAC;440  (X1) 300  (Y2);47;U2J;5 mm / 0.200 inch;Bulk;Straight;image/capacitors/ceramic/ceramic-singlelayer/28550.png
AY2470K29U2JS63L7;Enlarge;Automotive Grade EMI Suppression Safety Capacitor, Ceramic Disc, Class X1, 440 VAC, Class Y2, 300 VAC;440  (X1) 300  (Y2);47;U2J;7.5 mm / 0.300 inch;Bulk;Straight;image/capacitors/ceramic/ceramic-singlelayer/28550.png
AY2470K29U2JS63V0;Enlarge;Automotive Grade EMI Suppression Safety Capacitor, Ceramic Disc, Class X1, 440 VAC, Class Y2, 300 VAC;440  (X1) 300  (Y2);47;U2J;10 mm / 0.400 inch;Bulk;Inline Wire;image/capacitors/ceramic/ceramic-singlelayer/28550.png
AY2470K29U2JS63V5;Enlarge;Automotive Grade EMI Suppression Safety Capacitor, Ceramic Disc, Class X1, 440 VAC, Class Y2, 300 VAC;440  (X1) 300  (Y2);47;U2J;5 mm / 0.200 inch;Bulk;Inline Wire;image/capacitors/ceramic/ceramic-singlelayer/28550.png
AY2470K29U2JS63V7;Enlarge;Automotive Grade EMI Suppression Safety Capacitor, Ceramic Disc, Class X1, 440 VAC, Class Y2, 300 VAC;440  (X1) 300  (Y2);47;U2J;7.5 mm / 0.300 inch;Bulk;Inline Wire;image/capacitors/ceramic/ceramic-singlelayer/28550.png
AY2470K29U2JS6TL0;Enlarge;Automotive Grade EMI Suppression Safety Capacitor, Ceramic Disc, Class X1, 440 VAC, Class Y2, 300 VAC;440  (X1) 300  (Y2);47;U2J;10 mm / 0.400 inch;Reel;Straight;image/capacitors/ceramic/ceramic-singlelayer/28550.png
AY2470K29U2JS6TL5;Enlarge;Automotive Grade EMI Suppression Safety Capacitor, Ceramic Disc, Class X1, 440 VAC, Class Y2, 300 VAC;440  (X1) 300  (Y2);47;U2J;5 mm / 0.200 inch;Reel;Straight;image/capacitors/ceramic/ceramic-singlelayer/28550.png
AY2470K29U2JS6TL7;Enlarge;Automotive Grade EMI Suppression Safety Capacitor, Ceramic Disc, Class X1, 440 VAC, Class Y2, 300 VAC;440  (X1) 300  (Y2);47;U2J;7.5 mm / 0.300 inch;Reel;Straight;image/capacitors/ceramic/ceramic-singlelayer/28550.png
AY2470K29U2JS6TV0;Enlarge;Automotive Grade EMI Suppression Safety Capacitor, Ceramic Disc, Class X1, 440 VAC, Class Y2, 300 VAC;440  (X1) 300  (Y2);47;U2J;10 mm / 0.400 inch;Reel;Inline Wire;image/capacitors/ceramic/ceramic-singlelayer/28550.png
AY2470K29U2JS6TV5;Enlarge;Automotive Grade EMI Suppression Safety Capacitor, Ceramic Disc, Class X1, 440 VAC, Class Y2, 300 VAC;440  (X1) 300  (Y2);47;U2J;5 mm / 0.200 inch;Reel;Inline Wire;image/capacitors/ceramic/ceramic-singlelayer/28550.png
AY2470K29U2JS6TV7;Enlarge;Automotive Grade EMI Suppression Safety Capacitor, Ceramic Disc, Class X1, 440 VAC, Class Y2, 300 VAC;440  (X1) 300  (Y2);47;U2J;7.5 mm / 0.300 inch;Reel;Inline Wire;image/capacitors/ceramic/ceramic-singlelayer/28550.png
AY2470K29U2JS6UL0;Enlarge;Automotive Grade EMI Suppression Safety Capacitor, Ceramic Disc, Class X1, 440 VAC, Class Y2, 300 VAC;440  (X1) 300  (Y2);47;U2J;10 mm / 0.400 inch;Ammo;Straight;image/capacitors/ceramic/ceramic-singlelayer/28550.png
AY2470K29U2JS6UL5;Enlarge;Automotive Grade EMI Suppression Safety Capacitor, Ceramic Disc, Class X1, 440 VAC, Class Y2, 300 VAC;440  (X1) 300  (Y2);47;U2J;5 mm / 0.200 inch;Ammo;Straight;image/capacitors/ceramic/ceramic-singlelayer/28550.png
AY2470K29U2JS6UL7;Enlarge;Automotive Grade EMI Suppression Safety Capacitor, Ceramic Disc, Class X1, 440 VAC, Class Y2, 300 VAC;440  (X1) 300  (Y2);47;U2J;7.5 mm / 0.300 inch;Ammo;Straight;image/capacitors/ceramic/ceramic-singlelayer/28550.png
AY2470K29U2JS6UV0;Enlarge;Automotive Grade EMI Suppression Safety Capacitor, Ceramic Disc, Class X1, 440 VAC, Class Y2, 300 VAC;440  (X1) 300  (Y2);47;U2J;10 mm / 0.400 inch;Ammo;Inline Wire;image/capacitors/ceramic/ceramic-singlelayer/28550.png
AY2470K29U2JS6UV5;Enlarge;Automotive Grade EMI Suppression Safety Capacitor, Ceramic Disc, Class X1, 440 VAC, Class Y2, 300 VAC;440  (X1) 300  (Y2);47;U2J;5 mm / 0.200 inch;Ammo;Inline Wire;image/capacitors/ceramic/ceramic-singlelayer/28550.png
AY2470K29U2JS6UV7;Enlarge;Automotive Grade EMI Suppression Safety Capacitor, Ceramic Disc, Class X1, 440 VAC, Class Y2, 300 VAC;440  (X1) 300  (Y2);47;U2J;7.5 mm / 0.300 inch;Ammo;Inline Wire;image/capacitors/ceramic/ceramic-singlelayer/28550.png
AY2471K29Y5SS63L0;Enlarge;Automotive Grade EMI Suppression Safety Capacitor, Ceramic Disc, Class X1, 440 VAC, Class Y2, 300 VAC;440  (X1) 300  (Y2);470;Y5S;10 mm / 0.400 inch;Bulk;Straight;image/capacitors/ceramic/ceramic-singlelayer/28550.png
AY2471K29Y5SS63L5;Enlarge;Automotive Grade EMI Suppression Safety Capacitor, Ceramic Disc, Class X1, 440 VAC, Class Y2, 300 VAC;440  (X1) 300  (Y2);470;Y5S;5 mm / 0.200 inch;Bulk;Straight;image/capacitors/ceramic/ceramic-singlelayer/28550.png
AY2471K29Y5SS63L7;Enlarge;Automotive Grade EMI Suppression Safety Capacitor, Ceramic Disc, Class X1, 440 VAC, Class Y2, 300 VAC;440  (X1) 300  (Y2);470;Y5S;7.5 mm / 0.300 inch;Bulk;Straight;image/capacitors/ceramic/ceramic-singlelayer/28550.png
AY2471K29Y5SS63V0;Enlarge;Automotive Grade EMI Suppression Safety Capacitor, Ceramic Disc, Class X1, 440 VAC, Class Y2, 300 VAC;440  (X1) 300  (Y2);470;Y5S;10 mm / 0.400 inch;Bulk;Inline Wire;image/capacitors/ceramic/ceramic-singlelayer/28550.png
AY2471K29Y5SS63V5;Enlarge;Automotive Grade EMI Suppression Safety Capacitor, Ceramic Disc, Class X1, 440 VAC, Class Y2, 300 VAC;440  (X1) 300  (Y2);470;Y5S;5 mm / 0.200 inch;Bulk;Inline Wire;image/capacitors/ceramic/ceramic-singlelayer/28550.png
AY2471K29Y5SS63V7;Enlarge;Automotive Grade EMI Suppression Safety Capacitor, Ceramic Disc, Class X1, 440 VAC, Class Y2, 300 VAC;440  (X1) 300  (Y2);470;Y5S;7.5 mm / 0.300 inch;Bulk;Inline Wire;image/capacitors/ceramic/ceramic-singlelayer/28550.png
AY2471K29Y5SS6TL0;Enlarge;Automotive Grade EMI Suppression Safety Capacitor, Ceramic Disc, Class X1, 440 VAC, Class Y2, 300 VAC;440  (X1) 300  (Y2);470;Y5S;10 mm / 0.400 inch;Reel;Straight;image/capacitors/ceramic/ceramic-singlelayer/28550.png
AY2471K29Y5SS6TL5;Enlarge;Automotive Grade EMI Suppression Safety Capacitor, Ceramic Disc, Class X1, 440 VAC, Class Y2, 300 VAC;440  (X1) 300  (Y2);470;Y5S;5 mm / 0.200 inch;Reel;Straight;image/capacitors/ceramic/ceramic-singlelayer/28550.png
