Part Number▲▼,Product Image,Package▲▼,Dimensions(mm)▲▼,Carrier Frequency(kHz)▲▼,AGC▲▼,Transmission DistanceTyp.(m)▲▼,Detection Threshold /Sensitivity Typ.▲▼,Half ViewingAngle(°)▲▼,Supply CurrentTyp.(mA)▲▼,Pinning▲▼,Recommended for RemoteControl Code▲▼,Application▲▼,Mounting▲▼,Image path
TSMP97000,Enlarge,Belobog,3.95 W x 3.95 H x 0.8 D,30 to 60,,1.8,12,± 75,0.35,"1 = OUT, 2, 3, 6, 7, 8 = GND, 4, 5 = VS",,Code learning,SMD,image/ir-receiver-modules/82844.png
TSMP98000,Enlarge,Minicast,5.0 W x 6.95 H x 4.8 D,30 to 60,,1.8,12,± 45,0.35,"1 = carrier OUT, 2 = GND, 3 = VS",,Code learning,Leaded,image/ir-receiver-modules/82908.png
TSMP98100,Enlarge,Minicast,5.0 W x 6.95 H x 4.8 D,38,,12,0.4,± 45,0.35,"1 = carrier OUT, 2 = GND, 3 = VS",,Repeater,Leaded,image/ir-receiver-modules/82911.png
TSOP12130,Enlarge,Mold,6.0 W x 6.95 H x 5.6 D,30,AGC1,39,0.05,± 45,0.35,"1 = OUT, 2 = VS,
3 = GND",,Remote control,Leaded,image/ir-receiver-modules/82804.png
TSOP12133,Enlarge,Mold,6.0 W x 6.95 H x 5.6 D,33,AGC1,39,0.05,± 45,0.35,"1 = OUT, 2 = VS,
3 = GND",,Remote control,Leaded,image/ir-receiver-modules/82804.png
TSOP12136,Enlarge,Mold,6.0 W x 6.95 H x 5.6 D,36,AGC1,39,0.05,± 45,0.35,"1 = OUT, 2 = VS,
3 = GND",,Remote control,Leaded,image/ir-receiver-modules/82804.png
TSOP12138,Enlarge,Mold,6.0 W x 6.95 H x 5.6 D,38,AGC1,39,0.05,± 45,0.35,"1 = OUT, 2 = VS,
3 = GND",,Remote control,Leaded,image/ir-receiver-modules/82804.png
TSOP12140,Enlarge,Mold,6.0 W x 6.95 H x 5.6 D,40,AGC1,39,0.05,± 45,0.35,"1 = OUT, 2 = VS,
3 = GND",,Remote control,Leaded,image/ir-receiver-modules/82804.png
TSOP12156,Enlarge,Mold,6.0 W x 6.95 H x 5.6 D,56,AGC1,39,0.05,± 45,0.35,"1 = OUT, 2 = VS,
3 = GND",,Remote control,Leaded,image/ir-receiver-modules/82804.png
TSOP12230,Enlarge,Mold,6.0 W x 6.95 H x 5.6 D,30,AGC2,39,0.05,± 45,0.35,"1 = OUT,
2 = VS, 3 = GND",,Remote control,Leaded,image/ir-receiver-modules/82803.png
TSOP12233,Enlarge,Mold,6.0 W x 6.95 H x 5.6 D,33,AGC2,39,0.05,± 45,0.35,"1 = OUT,
2 = VS, 3 = GND",,Remote control,Leaded,image/ir-receiver-modules/82803.png
TSOP12236,Enlarge,Mold,6.0 W x 6.95 H x 5.6 D,36,AGC2,39,0.05,± 45,0.35,"1 = OUT,
2 = VS, 3 = GND",,Remote control,Leaded,image/ir-receiver-modules/82803.png
TSOP12238,Enlarge,Mold,6.0 W x 6.95 H x 5.6 D,38,AGC2,39,0.05,± 45,0.35,"1 = OUT,
2 = VS, 3 = GND",,Remote control,Leaded,image/ir-receiver-modules/82803.png
TSOP12240,Enlarge,Mold,6.0 W x 6.95 H x 5.6 D,40,AGC2,39,0.05,± 45,0.35,"1 = OUT,
2 = VS, 3 = GND",Sony,Remote control,Leaded,image/ir-receiver-modules/82803.png
TSOP12256,Enlarge,Mold,6.0 W x 6.95 H x 5.6 D,56,AGC2,39,0.05,± 45,0.35,"1 = OUT,
2 = VS, 3 = GND",Cisco,Remote control,Leaded,image/ir-receiver-modules/82803.png
TSOP12330,Enlarge,Mold,6.0 W x 6.95 H x 5.6 D,30,AGC3,39,0.05,± 45,0.35,"1 = OUT, 2 = VS,
3 = GND",,Remote control,Leaded,image/ir-receiver-modules/82804.png
TSOP12333,Enlarge,Mold,6.0 W x 6.95 H x 5.6 D,33,AGC3,39,0.05,± 45,0.35,"1 = OUT, 2 = VS,
3 = GND",,Remote control,Leaded,image/ir-receiver-modules/82804.png
TSOP12336,Enlarge,Mold,6.0 W x 6.95 H x 5.6 D,36,AGC3,39,0.05,± 45,0.35,"1 = OUT, 2 = VS,
3 = GND",RCMM,Remote control,Leaded,image/ir-receiver-modules/82804.png
TSOP12338,Enlarge,Mold,6.0 W x 6.95 H x 5.6 D,38,AGC3,39,0.05,± 45,0.35,"1 = OUT, 2 = VS,
3 = GND",RECS-80 Code,Remote control,Leaded,image/ir-receiver-modules/82804.png
TSOP12338,Enlarge,Mold,6.0 W x 6.95 H x 5.6 D,38,AGC3,39,0.05,± 45,0.35,"1 = OUT, 2 = VS,
3 = GND",XMP,Remote control,Leaded,image/ir-receiver-modules/82804.png
TSOP12340,Enlarge,Mold,6.0 W x 6.95 H x 5.6 D,40,AGC3,39,0.05,± 45,0.35,"1 = OUT, 2 = VS,
3 = GND",,Remote control,Leaded,image/ir-receiver-modules/82804.png
TSOP12356,Enlarge,Mold,6.0 W x 6.95 H x 5.6 D,56,AGC3,39,0.05,± 45,0.35,"1 = OUT, 2 = VS,
3 = GND",r-map,Remote control,Leaded,image/ir-receiver-modules/82804.png
TSOP12430,Enlarge,Mold,6.0 W x 6.95 H x 5.6 D,30,AGC4,39,0.05,± 45,0.35,"1 = OUT,
2 = VS, 3 = GND",,Remote control,Leaded,image/ir-receiver-modules/82803.png
TSOP12433,Enlarge,Mold,6.0 W x 6.95 H x 5.6 D,33,AGC4,39,0.05,± 45,0.35,"1 = OUT,
2 = VS, 3 = GND",,Remote control,Leaded,image/ir-receiver-modules/82803.png
TSOP12436,Enlarge,Mold,6.0 W x 6.95 H x 5.6 D,36,AGC4,39,0.05,± 45,0.35,"1 = OUT,
2 = VS, 3 = GND",Panasonic,Remote control,Leaded,image/ir-receiver-modules/82803.png
TSOP12436,Enlarge,Mold,6.0 W x 6.95 H x 5.6 D,36,AGC4,39,0.05,± 45,0.35,"1 = OUT,
2 = VS, 3 = GND",RC-6,Remote control,Leaded,image/ir-receiver-modules/82803.png
TSOP12438,Enlarge,Mold,6.0 W x 6.95 H x 5.6 D,38,AGC4,39,0.05,± 45,0.35,"1 = OUT,
2 = VS, 3 = GND",Mitsubishi,Remote control,Leaded,image/ir-receiver-modules/82803.png
TSOP12438,Enlarge,Mold,6.0 W x 6.95 H x 5.6 D,38,AGC4,39,0.05,± 45,0.35,"1 = OUT,
2 = VS, 3 = GND",NEC,Remote control,Leaded,image/ir-receiver-modules/82803.png
TSOP12438,Enlarge,Mold,6.0 W x 6.95 H x 5.6 D,38,AGC4,39,0.05,± 45,0.35,"1 = OUT,
2 = VS, 3 = GND",Sejin 4PPM,Remote control,Leaded,image/ir-receiver-modules/82803.png
TSOP12438,Enlarge,Mold,6.0 W x 6.95 H x 5.6 D,38,AGC4,39,0.05,± 45,0.35,"1 = OUT,
2 = VS, 3 = GND",Sharp,Remote control,Leaded,image/ir-receiver-modules/82803.png
TSOP12440,Enlarge,Mold,6.0 W x 6.95 H x 5.6 D,40,AGC4,39,0.05,± 45,0.35,"1 = OUT,
2 = VS, 3 = GND",,Remote control,Leaded,image/ir-receiver-modules/82803.png
TSOP12456,Enlarge,Mold,6.0 W x 6.95 H x 5.6 D,56,AGC4,39,0.05,± 45,0.35,"1 = OUT,
2 = VS, 3 = GND",r-step,Remote control,Leaded,image/ir-receiver-modules/82803.png
TSOP12530,Enlarge,Mold,6.0 W x 6.95 H x 5.6 D,30,AGC5,39,0.05,± 45,0.35,"1 = OUT, 2 = VS,
3 = GND",,Remote control,Leaded,image/ir-receiver-modules/82804.png
TSOP12533,Enlarge,Mold,6.0 W x 6.95 H x 5.6 D,33,AGC5,39,0.05,± 45,0.35,"1 = OUT, 2 = VS,
3 = GND",,Remote control,Leaded,image/ir-receiver-modules/82804.png
TSOP12536,Enlarge,Mold,6.0 W x 6.95 H x 5.6 D,36,AGC5,39,0.05,± 45,0.35,"1 = OUT, 2 = VS,
3 = GND",,Remote control,Leaded,image/ir-receiver-modules/82804.png
TSOP12538,Enlarge,Mold,6.0 W x 6.95 H x 5.6 D,38,AGC5,39,0.05,± 45,0.35,"1 = OUT, 2 = VS,
3 = GND",,Remote control,Leaded,image/ir-receiver-modules/82804.png
TSOP12540,Enlarge,Mold,6.0 W x 6.95 H x 5.6 D,40,AGC5,39,0.05,± 45,0.35,"1 = OUT, 2 = VS,
3 = GND",,Remote control,Leaded,image/ir-receiver-modules/82804.png
TSOP12556,Enlarge,Mold,6.0 W x 6.95 H x 5.6 D,56,AGC5,39,0.05,± 45,0.35,"1 = OUT, 2 = VS,
3 = GND",,Remote control,Leaded,image/ir-receiver-modules/82804.png
TSOP12630,Enlarge,Mold,6.0 W x 6.95 H x 5.6 D,30,AGC6,39,0.05,± 45,0.35,"1 = OUT,
2 = VS, 3 = GND",,Remote control,Leaded,image/ir-receiver-modules/82803.png
TSOP12633,Enlarge,Mold,6.0 W x 6.95 H x 5.6 D,33,AGC6,39,0.05,± 45,0.35,"1 = OUT,
2 = VS, 3 = GND",,Remote control,Leaded,image/ir-receiver-modules/82803.png
TSOP12636,Enlarge,Mold,6.0 W x 6.95 H x 5.6 D,36,AGC6,39,0.05,± 45,0.35,"1 = OUT,
2 = VS, 3 = GND",RC-5,Remote control,Leaded,image/ir-receiver-modules/82803.png
TSOP12638,Enlarge,Mold,6.0 W x 6.95 H x 5.6 D,38,AGC6,39,0.05,± 45,0.35,"1 = OUT,
2 = VS, 3 = GND",,Remote control,Leaded,image/ir-receiver-modules/82803.png
TSOP12640,Enlarge,Mold,6.0 W x 6.95 H x 5.6 D,40,AGC6,39,0.05,± 45,0.35,"1 = OUT,
2 = VS, 3 = GND",,Remote control,Leaded,image/ir-receiver-modules/82803.png
TSOP12656,Enlarge,Mold,6.0 W x 6.95 H x 5.6 D,56,AGC6,39,0.05,± 45,0.35,"1 = OUT,
2 = VS, 3 = GND",RCA,Remote control,Leaded,image/ir-receiver-modules/82803.png
TSOP13130,Enlarge,Minimold,5.4 W x 6.35 H x 4.9 D,30,AGC1,39,0.05,± 45,0.35,"1 = OUT, 2 = GND, 3 = VS",,Remote control,Leaded,image/ir-receiver-modules/82805.png
TSOP13130DF1P,Enlarge,Minimold,5.4 W x 6.35 H x 4.9 D,30,AGC1,39,0.05,± 45,0.35,"1 = OUT, 2 = GND, 3 = VS",,Remote control,Leaded,image/ir-receiver-modules/82881.png
TSOP13130P10TR,Enlarge,Minimold,5.4 W x 6.35 H x 4.9 D,30,AGC1,39,0.05,± 45,0.35,"1 = OUT, 2 = GND, 3 = VS",,Remote control,Leaded,image/ir-receiver-modules/82871.png
TSOP13130P16TR,Enlarge,Minimold,5.4 W x 6.35 H x 4.9 D,30,AGC1,39,0.05,± 45,0.35,"1 = OUT, 2 = GND, 3 = VS",,Remote control,Leaded,image/ir-receiver-modules/82876.png
TSOP13133,Enlarge,Minimold,5.4 W x 6.35 H x 4.9 D,33,AGC1,39,0.05,± 45,0.35,"1 = OUT, 2 = GND, 3 = VS",,Remote control,Leaded,image/ir-receiver-modules/82805.png
TSOP13133DF1P,Enlarge,Minimold,5.4 W x 6.35 H x 4.9 D,33,AGC1,39,0.05,± 45,0.35,"1 = OUT, 2 = GND, 3 = VS",,Remote control,Leaded,image/ir-receiver-modules/82881.png
TSOP13133P10TR,Enlarge,Minimold,5.4 W x 6.35 H x 4.9 D,33,AGC1,39,0.05,± 45,0.35,"1 = OUT, 2 = GND, 3 = VS",,Remote control,Leaded,image/ir-receiver-modules/82871.png
TSOP13133P16TR,Enlarge,Minimold,5.4 W x 6.35 H x 4.9 D,33,AGC1,39,0.05,± 45,0.35,"1 = OUT, 2 = GND, 3 = VS",,Remote control,Leaded,image/ir-receiver-modules/82876.png
TSOP13136,Enlarge,Minimold,5.4 W x 6.35 H x 4.9 D,36,AGC1,39,0.05,± 45,0.35,"1 = OUT, 2 = GND, 3 = VS",,Remote control,Leaded,image/ir-receiver-modules/82805.png
TSOP13136 DF1P,Enlarge,Minimold,5.4 W x 6.35 H x 4.9 D,36,AGC1,39,0.05,± 45,0.35,"1 = OUT, 2 = GND, 3 = VS",,Remote control,Leaded,image/ir-receiver-modules/82881.png
TSOP13136P10TR,Enlarge,Minimold,5.4 W x 6.35 H x 4.9 D,36,AGC1,39,0.05,± 45,0.35,"1 = OUT, 2 = GND, 3 = VS",,Remote control,Leaded,image/ir-receiver-modules/82871.png
TSOP13136P16TR,Enlarge,Minimold,5.4 W x 6.35 H x 4.9 D,36,AGC1,39,0.05,± 45,0.35,"1 = OUT, 2 = GND, 3 = VS",,Remote control,Leaded,image/ir-receiver-modules/82876.png
TSOP13138,Enlarge,Minimold,5.4 W x 6.35 H x 4.9 D,38,AGC1,39,0.05,± 45,0.35,"1 = OUT, 2 = GND, 3 = VS",,Remote control,Leaded,image/ir-receiver-modules/82805.png
TSOP13138DF1P,Enlarge,Minimold,5.4 W x 6.35 H x 4.9 D,38,AGC1,39,0.05,± 45,0.35,"1 = OUT, 2 = GND, 3 = VS",,Remote control,Leaded,image/ir-receiver-modules/82881.png
TSOP13138P10TR,Enlarge,Minimold,5.4 W x 6.35 H x 4.9 D,38,AGC1,39,0.05,± 45,0.35,"1 = OUT, 2 = GND, 3 = VS",,Remote control,Leaded,image/ir-receiver-modules/82871.png
TSOP13138P16TR,Enlarge,Minimold,5.4 W x 6.35 H x 4.9 D,38,AGC1,39,0.05,± 45,0.35,"1 = OUT, 2 = GND, 3 = VS",,Remote control,Leaded,image/ir-receiver-modules/82876.png
TSOP13140,Enlarge,Minimold,5.4 W x 6.35 H x 4.9 D,40,AGC1,39,0.05,± 45,0.35,"1 = OUT, 2 = GND, 3 = VS",,Remote control,Leaded,image/ir-receiver-modules/82805.png
TSOP13140DF1P,Enlarge,Minimold,5.4 W x 6.35 H x 4.9 D,40,AGC1,39,0.05,± 45,0.35,"1 = OUT, 2 = GND, 3 = VS",,Remote control,Leaded,image/ir-receiver-modules/82881.png
TSOP13140P10TR,Enlarge,Minimold,5.4 W x 6.35 H x 4.9 D,40,AGC1,39,0.05,± 45,0.35,"1 = OUT, 2 = GND, 3 = VS",,Remote control,Leaded,image/ir-receiver-modules/82871.png
TSOP13140P16TR,Enlarge,Minimold,5.4 W x 6.35 H x 4.9 D,40,AGC1,39,0.05,± 45,0.35,"1 = OUT, 2 = GND, 3 = VS",,Remote control,Leaded,image/ir-receiver-modules/82876.png
TSOP13156,Enlarge,Minimold,5.4 W x 6.35 H x 4.9 D,56,AGC1,39,0.05,± 45,0.35,"1 = OUT, 2 = GND, 3 = VS",,Remote control,Leaded,image/ir-receiver-modules/82805.png
TSOP13156DF1P,Enlarge,Minimold,5.4 W x 6.35 H x 4.9 D,56,AGC1,39,0.05,± 45,0.35,"1 = OUT, 2 = GND, 3 = VS",,Remote control,Leaded,image/ir-receiver-modules/82881.png
TSOP13156P10TR,Enlarge,Minimold,5.4 W x 6.35 H x 4.9 D,56,AGC1,39,0.05,± 45,0.35,"1 = OUT, 2 = GND, 3 = VS",,Remote control,Leaded,image/ir-receiver-modules/82871.png
TSOP13156P16TR,Enlarge,Minimold,5.4 W x 6.35 H x 4.9 D,56,AGC1,39,0.05,± 45,0.35,"1 = OUT, 2 = GND, 3 = VS",,Remote control,Leaded,image/ir-receiver-modules/82876.png
TSOP13230,Enlarge,Minimold,5.4 W x 6.35 H x 4.9 D,30,AGC2,39,0.05,± 45,0.35,"1 = OUT, 2 = GND, 3 = VS",,Remote control,Leaded,image/ir-receiver-modules/82806.png
TSOP13230DF1P,Enlarge,Minimold,5.4 W x 6.35 H x 4.9 D,30,AGC2,39,0.05,± 45,0.35,"1 = OUT, 2 = GND, 3 = VS",,Remote control,Leaded,image/ir-receiver-modules/82882.png
TSOP13230P10TR,Enlarge,Minimold,5.4 W x 6.35 H x 4.9 D,30,AGC2,39,0.05,± 45,0.35,"1 = OUT, 2 = GND, 3 = VS",,Remote control,Leaded,image/ir-receiver-modules/82872.png
TSOP13230P16TR,Enlarge,Minimold,5.4 W x 6.35 H x 4.9 D,30,AGC2,39,0.05,± 45,0.35,"1 = OUT, 2 = GND, 3 = VS",,Remote control,Leaded,image/ir-receiver-modules/82877.png
TSOP13233,Enlarge,Minimold,5.4 W x 6.35 H x 4.9 D,33,AGC2,39,0.05,± 45,0.35,"1 = OUT, 2 = GND, 3 = VS",,Remote control,Leaded,image/ir-receiver-modules/82806.png
TSOP13233DF1P,Enlarge,Minimold,5.4 W x 6.35 H x 4.9 D,33,AGC2,39,0.05,± 45,0.35,"1 = OUT, 2 = GND, 3 = VS",,Remote control,Leaded,image/ir-receiver-modules/82882.png
TSOP13233P10TR,Enlarge,Minimold,5.4 W x 6.35 H x 4.9 D,33,AGC2,39,0.05,± 45,0.35,"1 = OUT, 2 = GND, 3 = VS",,Remote control,Leaded,image/ir-receiver-modules/82872.png
TSOP13233P16TR,Enlarge,Minimold,5.4 W x 6.35 H x 4.9 D,33,AGC2,39,0.05,± 45,0.35,"1 = OUT, 2 = GND, 3 = VS",,Remote control,Leaded,image/ir-receiver-modules/82877.png
TSOP13236,Enlarge,Minimold,5.4 W x 6.35 H x 4.9 D,36,AGC2,39,0.05,± 45,0.35,"1 = OUT, 2 = GND, 3 = VS",,Remote control,Leaded,image/ir-receiver-modules/82806.png
TSOP13236DF1P,Enlarge,Minimold,5.4 W x 6.35 H x 4.9 D,36,AGC2,39,0.05,± 45,0.35,"1 = OUT, 2 = GND, 3 = VS",,Remote control,Leaded,image/ir-receiver-modules/82882.png
TSOP13236P10TR,Enlarge,Minimold,5.4 W x 6.35 H x 4.9 D,36,AGC2,39,0.05,± 45,0.35,"1 = OUT, 2 = GND, 3 = VS",,Remote control,Leaded,image/ir-receiver-modules/82872.png
TSOP13236P16TR,Enlarge,Minimold,5.4 W x 6.35 H x 4.9 D,36,AGC2,39,0.05,± 45,0.35,"1 = OUT, 2 = GND, 3 = VS",,Remote control,Leaded,image/ir-receiver-modules/82877.png
TSOP13238,Enlarge,Minimold,5.4 W x 6.35 H x 4.9 D,38,AGC2,39,0.05,± 45,0.35,"1 = OUT, 2 = GND, 3 = VS",,Remote control,Leaded,image/ir-receiver-modules/82806.png
TSOP13238DF1P,Enlarge,Minimold,5.4 W x 6.35 H x 4.9 D,38,AGC2,39,0.05,± 45,0.35,"1 = OUT, 2 = GND, 3 = VS",,Remote control,Leaded,image/ir-receiver-modules/82882.png
TSOP13238P10TR,Enlarge,Minimold,5.4 W x 6.35 H x 4.9 D,38,AGC2,39,0.05,± 45,0.35,"1 = OUT, 2 = GND, 3 = VS",,Remote control,Leaded,image/ir-receiver-modules/82872.png
TSOP13238P16TR,Enlarge,Minimold,5.4 W x 6.35 H x 4.9 D,38,AGC2,39,0.05,± 45,0.35,"1 = OUT, 2 = GND, 3 = VS",,Remote control,Leaded,image/ir-receiver-modules/82877.png
TSOP13240,Enlarge,Minimold,5.4 W x 6.35 H x 4.9 D,40,AGC2,39,0.05,± 45,0.35,"1 = OUT, 2 = GND, 3 = VS",Sony,Remote control,Leaded,image/ir-receiver-modules/82806.png
TSOP13240DF1P,Enlarge,Minimold,5.4 W x 6.35 H x 4.9 D,40,AGC2,39,0.05,± 45,0.35,"1 = OUT, 2 = GND, 3 = VS",Sony,Remote control,Leaded,image/ir-receiver-modules/82882.png
TSOP13240P10TR,Enlarge,Minimold,5.4 W x 6.35 H x 4.9 D,40,AGC2,39,0.05,± 45,0.35,"1 = OUT, 2 = GND, 3 = VS",Sony,Remote control,Leaded,image/ir-receiver-modules/82872.png
TSOP13240P16TR,Enlarge,Minimold,5.4 W x 6.35 H x 4.9 D,40,AGC2,39,0.05,± 45,0.35,"1 = OUT, 2 = GND, 3 = VS",Sony,Remote control,Leaded,image/ir-receiver-modules/82877.png
TSOP13256,Enlarge,Minimold,5.4 W x 6.35 H x 4.9 D,56,AGC2,39,0.05,± 45,0.35,"1 = OUT, 2 = GND, 3 = VS",Cisco,Remote control,Leaded,image/ir-receiver-modules/82806.png
TSOP13256DF1P,Enlarge,Minimold,5.4 W x 6.35 H x 4.9 D,56,AGC2,39,0.05,± 45,0.35,"1 = OUT, 2 = GND, 3 = VS",Cisco,Remote control,Leaded,image/ir-receiver-modules/82882.png
TSOP13256P10TR,Enlarge,Minimold,5.4 W x 6.35 H x 4.9 D,56,AGC2,39,0.05,± 45,0.35,"1 = OUT, 2 = GND, 3 = VS",Cisco,Remote control,Leaded,image/ir-receiver-modules/82872.png
TSOP13256P16TR,Enlarge,Minimold,5.4 W x 6.35 H x 4.9 D,56,AGC2,39,0.05,± 45,0.35,"1 = OUT, 2 = GND, 3 = VS",Cisco,Remote control,Leaded,image/ir-receiver-modules/82877.png
TSOP13330,Enlarge,Minimold,5.4 W x 6.35 H x 4.9 D,30,AGC3,39,0.05,± 45,0.35,"1 = OUT, 2 = GND, 3 = VS",,Remote control,Leaded,image/ir-receiver-modules/82805.png
TSOP13330DF1P,Enlarge,Minimold,5.4 W x 6.35 H x 4.9 D,30,AGC3,39,0.05,± 45,0.35,"1 = OUT, 2 = GND, 3 = VS",,Remote control,Leaded,image/ir-receiver-modules/82881.png
TSOP13330P10TR,Enlarge,Minimold,5.4 W x 6.35 H x 4.9 D,30,AGC3,39,0.05,± 45,0.35,"1 = OUT, 2 = GND, 3 = VS",,Remote control,Leaded,image/ir-receiver-modules/82871.png
TSOP13330P16TR,Enlarge,Minimold,5.4 W x 6.35 H x 4.9 D,30,AGC3,39,0.05,± 45,0.35,"1 = OUT, 2 = GND, 3 = VS",,Remote control,Leaded,image/ir-receiver-modules/82876.png
TSOP13333,Enlarge,Minimold,5.4 W x 6.35 H x 4.9 D,33,AGC3,39,0.05,± 45,0.35,"1 = OUT, 2 = GND, 3 = VS",,Remote control,Leaded,image/ir-receiver-modules/82805.png
TSOP13333DF1P,Enlarge,Minimold,5.4 W x 6.35 H x 4.9 D,33,AGC3,39,0.05,± 45,0.35,"1 = OUT, 2 = GND, 3 = VS",,Remote control,Leaded,image/ir-receiver-modules/82881.png
TSOP13333P10TR,Enlarge,Minimold,5.4 W x 6.35 H x 4.9 D,33,AGC3,39,0.05,± 45,0.35,"1 = OUT, 2 = GND, 3 = VS",,Remote control,Leaded,image/ir-receiver-modules/82871.png
TSOP13333P16TR,Enlarge,Minimold,5.4 W x 6.35 H x 4.9 D,33,AGC3,39,0.05,± 45,0.35,"1 = OUT, 2 = GND, 3 = VS",,Remote control,Leaded,image/ir-receiver-modules/82876.png
TSOP13336,Enlarge,Minimold,5.4 W x 6.35 H x 4.9 D,36,AGC3,39,0.05,± 45,0.35,"1 = OUT, 2 = GND, 3 = VS",RCMM,Remote control,Leaded,image/ir-receiver-modules/82805.png
TSOP13336DF1P,Enlarge,Minimold,5.4 W x 6.35 H x 4.9 D,36,AGC3,39,0.05,± 45,0.35,"1 = OUT, 2 = GND, 3 = VS",RCMM,Remote control,Leaded,image/ir-receiver-modules/82881.png
TSOP13336P10TR,Enlarge,Minimold,5.4 W x 6.35 H x 4.9 D,36,AGC3,39,0.05,± 45,0.35,"1 = OUT, 2 = GND, 3 = VS",RCMM,Remote control,Leaded,image/ir-receiver-modules/82871.png
TSOP13336P16TR,Enlarge,Minimold,5.4 W x 6.35 H x 4.9 D,36,AGC3,39,0.05,± 45,0.35,"1 = OUT, 2 = GND, 3 = VS",RCMM,Remote control,Leaded,image/ir-receiver-modules/82876.png
TSOP13338,Enlarge,Minimold,5.4 W x 6.35 H x 4.9 D,38,AGC3,39,0.05,± 45,0.35,"1 = OUT, 2 = GND, 3 = VS",RECS-80 Code,Remote control,Leaded,image/ir-receiver-modules/82805.png
TSOP13338,Enlarge,Minimold,5.4 W x 6.35 H x 4.9 D,38,AGC3,39,0.05,± 45,0.35,"1 = OUT, 2 = GND, 3 = VS",XMP,Remote control,Leaded,image/ir-receiver-modules/82805.png
TSOP13338DF1P,Enlarge,Minimold,5.4 W x 6.35 H x 4.9 D,38,AGC3,39,0.05,± 45,0.35,"1 = OUT, 2 = GND, 3 = VS",RECS-80 Code,Remote control,Leaded,image/ir-receiver-modules/82881.png
